山梨_2026,期間,インフルエンザ_累積,インフルエンザ_定当,ＲＳウイルス感染症_累積,ＲＳウイルス感染症_定当,咽頭結膜熱_累積,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_累積,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_累積,感染性胃腸炎_定当,水痘_累積,水痘_定当,手足口病_累積,手足口病_定当,伝染性紅斑_累積,伝染性紅斑_定当,突発性発疹_累積,突発性発疹_定当,ヘルパンギーナ_累積,ヘルパンギーナ_定当,流行性耳下腺炎_累積,流行性耳下腺炎_定当,急性出血性結膜炎_累積,急性出血性結膜炎_定当,流行性角結膜炎_累積,流行性角結膜炎_定当,細菌性髄膜炎_累積,細菌性髄膜炎_定当,無菌性髄膜炎_累積,無菌性髄膜炎_定当,マイコプラズマ肺炎_累積,マイコプラズマ肺炎_定当,クラミジア肺炎_累積,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_累積,感染性胃腸炎（ロタウイルス）_定当,COVID-19_累積,COVID-19_定当,急性呼吸器感染症_累積,急性呼吸器感染症_定当,インフルエンザ_推移,ＲＳウイルス感染症_推移,咽頭結膜熱_推移,Ａ群溶血性レンサ球菌咽頭炎_推移,感染性胃腸炎_推移,水痘_推移,手足口病_推移,伝染性紅斑_推移,突発性発疹_推移,ヘルパンギーナ_推移,流行性耳下腺炎_推移,急性出血性結膜炎_推移,流行性角結膜炎_推移,細菌性髄膜炎_推移,無菌性髄膜炎_推移,マイコプラズマ肺炎_推移,クラミジア肺炎_推移,感染性胃腸炎（ロタウイルス）_推移,COVID-19_推移,急性呼吸器感染症_推移,インフルエンザ_状況,ＲＳウイルス感染症_状況,咽頭結膜熱_状況,Ａ群溶血性レンサ球菌咽頭炎_状況,感染性胃腸炎_状況,水痘_状況,手足口病_状況,伝染性紅斑_状況,突発性発疹_状況,ヘルパンギーナ_状況,流行性耳下腺炎_状況,急性出血性結膜炎_状況,流行性角結膜炎_状況,細菌性髄膜炎_状況,無菌性髄膜炎_状況,マイコプラズマ肺炎_状況,クラミジア肺炎_状況,感染性胃腸炎（ロタウイルス）_状況,COVID-19_状況,急性呼吸器感染症_状況
1,2026年01週(12月29日～01月04日),176,5.03,4,0.19,4,0.19,-,-,9,0.43,-,-,-,-,1,0.05,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,1,0.1,-,-,-,-,34,0.97,399,11.4,減少しています,横ばいです,横ばいです,-,減少しています,-,-,横ばいです,横ばいです,-,-,-,-,-,-,横ばいです,-,-,-,-,流行しています,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2026年02週(01月05日～01月11日),351,10.03,8,0.38,1,0.05,10,0.48,89,4.24,-,-,-,-,6,0.29,5,0.24,-,-,1,0.05,-,-,1,0.11,-,-,-,-,3,0.3,2,0.2,-,-,81,2.31,1379,39.4,横ばいです,横ばいです,横ばいです,横ばいです,横ばいです,-,-,横ばいです,横ばいです,-,横ばいです,-,横ばいです,-,-,横ばいです,横ばいです,-,-,-,流行しています,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2026年03週(01月12日～01月18日),292,8.34,4,0.19,-,-,14,0.67,120,5.71,-,-,-,-,6,0.29,1,0.05,-,-,-,-,-,-,2,0.22,-,-,-,-,1,0.1,-,-,-,-,74,2.11,1129,32.26,横ばいです,横ばいです,-,横ばいです,やや増加しています,-,-,横ばいです,横ばいです,-,-,-,横ばいです,-,-,横ばいです,-,-,-,-,流行しています,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2026年04週(01月19日～01月25日),778,22.23,13,0.62,-,-,18,0.86,130,6.19,1,0.05,-,-,8,0.38,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-,2,0.2,-,-,1,0.1,109,3.11,1969,56.26,増加しています,横ばいです,-,横ばいです,やや増加しています,横ばいです,-,横ばいです,-,-,-,-,横ばいです,-,-,横ばいです,-,横ばいです,-,-,流行しています,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2026年05週(01月26日～02月01日),1644,46.97,11,0.52,1,0.05,14,0.67,130,6.19,2,0.1,-,-,10,0.48,6,0.29,-,-,-,-,-,-,2,0.22,-,-,-,-,2,0.2,1,0.1,-,-,112,3.2,2663,76.09,増加しています,横ばいです,横ばいです,横ばいです,やや増加しています,横ばいです,-,横ばいです,横ばいです,-,-,-,横ばいです,-,-,横ばいです,横ばいです,-,-,-,大変流行しています,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
