2026年37週　定点報告（週）発生地図（京都府全域）,報告数,,,,,,,,,,,,定点あたり,,,,,,,,,,,,警報・注意報,,,,,,,,,,,
,京都市,,,,,京都市以外,,,,,,,京都市,,,,,京都市以外,,,,,,,京都市,,,,,京都市以外,,,,,,
疾患名,北・左京,上京・中京・下京,東山・山科,南・伏見,右京・西京,乙訓,山城北,山城南,南丹,中丹西,中丹東,丹後,北・左京,上京・中京・下京,東山・山科,南・伏見,右京・西京,乙訓,山城北,山城南,南丹,中丹西,中丹東,丹後,北・左京,上京・中京・下京,東山・山科,南・伏見,右京・西京,乙訓,山城北,山城南,南丹,中丹西,中丹東,丹後
インフルエンザ,31,9,29,34,42,27,43,3,8,12,4,37,5.17,1.50,7.25,3.78,5.25,5.4,4.78,0.75,2,4,1.33,12.33,□,□,□,□,□,□,□,□,□,□,□,△
COVID-19,12,11,5,14,16,20,37,3,6,14,5,37,2.00,1.83,1.25,1.56,2.00,4,4.11,0.75,1.5,4.67,1.67,12.33,□,□,□,□,□,□,□,□,□,□,□,□
ＲＳウイルス感染症,-,4,1,4,-,1,2,-,1,1,-,-,-,2.00,0.50,0.67,-,0.33,0.33,-,0.5,0.5,-,-,-,□,□,□,-,□,□,-,□,□,-,-
咽頭結膜熱,-,-,-,-,1,-,27,-,-,-,1,-,-,-,-,-,0.20,-,4.5,-,-,-,0.5,-,-,-,-,-,□,-,○,-,-,-,□,-
Ａ群溶血性レンサ球菌咽頭炎,3,-,-,13,3,9,20,1,-,4,2,-,1.00,-,-,2.17,0.60,3,3.33,0.5,-,2,1,-,□,-,-,□,□,□,□,□,-,□,□,-
感染性胃腸炎,17,5,3,35,25,4,15,6,2,3,11,2,5.67,2.50,1.50,5.83,5.00,1.33,2.5,3,1,1.5,5.5,1,□,□,□,□,□,□,□,□,□,□,□,□
水痘,1,1,-,-,1,-,-,1,1,-,-,-,0.33,0.50,-,-,0.20,-,-,0.5,0.5,-,-,-,□,□,-,-,□,-,-,□,□,-,-,-
手足口病,1,1,-,4,19,-,7,-,2,-,-,2,0.33,0.50,-,0.67,3.80,-,1.17,-,1,-,-,1,□,□,-,□,□,-,□,-,□,-,-,□
